object_id,ecotaxa_img_classif,pros_pred_mask_pixel_area,pros_pred_mask_mm2_area,lip_pred_mask_pixel_area,lip_pred_mask_mm2_area,apsilon_lip_pred_mask_pixel_area,apsilon_lip_pred_mask_mm2_area,object_lat,object_lon,object_date,object_time,object_depth_min,sample_id,sample_lat,sample_long,stage,orientation,species,total_lipids,apsilon_total_lipids,fullness_ratio,month,year,species_stage
20150422 181634  946  000001 0470 0320,civstage+lateral<Calanus hyperboreus,6087,3.220023,1790,0.94691,1392,0.7363679999999999,67.4797,-63.7895,2015-04-22,18:16:34,319.4310144909926,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.1827141729029099,0.1291389343343559,0.228684080827994,4,2015,Calanus hyperboreus_civstage
20150422 181635  146  000000 0272 0620,female+lateral<Calanus hyperboreus,24944,13.195376,7611,4.026218999999999,4786,2.531794,67.4797,-63.7895,2015-04-22,18:16:35,319.05190322435976,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.3465566525792951,0.7099003195634616,0.1918697883258499,4,2015,Calanus hyperboreus_female
20150422 181635  179  000000 0590 0740,female+lateral<Calanus hyperboreus,23590,12.47911,8711,4.608118999999999,6048,3.199392,67.4797,-63.7895,2015-04-22,18:16:35,319.05190322435976,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.6222915740641084,0.9805264500514598,0.256379821958457,4,2015,Calanus hyperboreus_female
20150422 181635  946  000000 0374 0350,civstage+ventral<Calanus hyperboreus,8266,4.372713999999999,3273,1.731417,2841,1.502889,67.4797,-63.7895,2015-04-22,18:16:35,319.05190322435976,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,ventral,Calanus hyperboreus,0.4202043470387461,0.3456410820959169,0.3436970723445439,4,2015,Calanus hyperboreus_civstage
20150422 181636  012  000000 0896 0350,civstage+ventral<Calanus hyperboreus,8189,4.331981,3080,1.62932,3047,1.611863,67.4797,-63.7895,2015-04-22,18:16:36,318.66600964619545,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,ventral,Calanus hyperboreus,0.3863981534794523,0.3806966370342369,0.3720845036023935,4,2015,Calanus hyperboreus_civstage
20150422 181637  812  000001 0110 0230,civstage+ventral<Calanus hyperboreus,7009,3.707761,2649,1.401321,3028,1.601812,67.4797,-63.7895,2015-04-22,18:16:37,318.28480384217795,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,ventral,Calanus hyperboreus,0.313825446950802,0.3774245581665773,0.4320159794549864,4,2015,Calanus hyperboreus_civstage
20150422 181637  878  000002 0224 0650,civstage+ventral<Calanus hyperboreus,6341,3.354389,2933,1.551557,2501,1.323029,67.4797,-63.7895,2015-04-22,18:16:37,318.28480384217795,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,ventral,Calanus hyperboreus,0.3611816689720045,0.2898891415336442,0.3944172843400095,4,2015,Calanus hyperboreus_civstage
20150422 181637  912  000002 0422 0620,cvstage+lateral<Calanus glacialis,7091,3.751139,2773,1.466917,2826,1.494954,67.4797,-63.7895,2015-04-22,18:16:37,318.28480384217795,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.3342765210084578,0.3431252126433165,0.3985333521365111,4,2015,Calanus glacialis_cvstage
20150422 181637  945  000000 0608 0638,civstage+lateral<Calanus hyperboreus,8285,4.382765,3151,1.666879,2982,1.577478,67.4797,-63.7895,2015-04-22,18:16:37,318.28480384217795,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.3987437142493377,0.3695350146924705,0.35992757996379,4,2015,Calanus hyperboreus_civstage
20150422 181638  012  000000 0764 0830,civstage+lateral<Calanus hyperboreus,7490,3.96221,3333,1.763157,3215,1.700735,67.4797,-63.7895,2015-04-22,18:16:38,317.90090506152285,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.430871517656209,0.4099631318420837,0.4292389853137517,4,2015,Calanus hyperboreus_civstage
