object_id,ecotaxa_img_classif,pros_pred_mask_pixel_area,pros_pred_mask_mm2_area,lip_pred_mask_pixel_area,lip_pred_mask_mm2_area,apsilon_lip_pred_mask_pixel_area,apsilon_lip_pred_mask_mm2_area,prosome_length_mm,object_lat,object_lon,object_date,object_time,object_depth_min,sample_id,sample_lat,sample_long,stage,orientation,species,total_lipids_mg,apsilon_total_lipids_mg,total_lipids_ugC,apsilon_total_lipids_ugC,fullness_ratio_area,month,total_body_ugC,fullness_ratio_ugC,year,species_stage
20150422 181606  691  000000 0146 0350,civstage+lateral<Calanus hyperboreus,8083,4.275906999999999,3722,1.968938,2561,1.354769,3.86612333796596,67.4797,-63.7895,2015-04-22,18:16:06,329.922751730765,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.5017720224786022,0.2995299623140511,451.594820230742,269.57696608264604,0.3168378077446493,4,162.51395889588275,1.6587926841124765,2015,Calanus hyperboreus_civstage
20150422 181606  825  000001 0656 0068,civstage+lateral<Calanus hyperboreus,7874,4.165346,3317,1.754693,3042,1.609218,3.867443384571651,67.4797,-63.7895,2015-04-22,18:16:06,329.922751730765,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.4280197453267551,0.3798348098185107,385.2177707940796,341.8513288366597,0.3863347726695453,4,162.69658796526903,2.101158562155188,2015,Calanus hyperboreus_civstage
20150422 181606  924  000000 0578 0056,civstage+lateral<Calanus hyperboreus,7601,4.020929,2356,1.246324,2606,1.378574,4.019878869243261,67.4797,-63.7895,2015-04-22,18:16:06,329.922751730765,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.2669543170302288,0.306817227556363,240.25888532720597,276.13550480072666,0.3428496250493356,4,184.76268354700767,1.4945415356584804,2015,Calanus hyperboreus_civstage
20150422 181607  957  000000 0224 0518,female+lateral<Calanus hyperboreus,29725,15.724525,9833,5.201657,6080,3.21632,7.410296304991156,67.4797,-63.7895,2015-04-22,18:16:07,329.5663811557376,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.917528323730057,0.9876930389546992,1725.7754913570516,888.9237350592294,0.2045416316232128,4,1382.0146248912024,0.6432086311164825,2015,Calanus hyperboreus_female
20150422 181609  290  000000 0320 0110,cvstage+lateral<Calanus glacialis,7680,4.06272,3560,1.88324,3392,1.794368,3.751282064495213,67.4797,-63.7895,2015-04-22,18:16:09,328.81932948852375,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.4718848677719937,0.4414323101738101,424.6963809947944,397.2890791564291,0.4416666666666667,4,406.82661736540183,0.9765562581162032,2015,Calanus glacialis_cvstage
20150422 181609  323  000000 0506 0140,civstage+lateral<Calanus hyperboreus,8520,4.507079999999999,3642,1.926618,3742,1.979518,4.004147549177167,67.4797,-63.7895,2015-04-22,18:16:09,328.81932948852375,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.4869497786819368,0.5054966413085029,438.25480081374315,454.9469771776526,0.4392018779342724,4,182.39450043817092,2.494302054528629,2015,Calanus hyperboreus_civstage
20150422 181609  723  000000 0374 0230,civstage+lateral<Calanus glacialis,3783,2.001207,1434,0.758586,852,0.4507079999999999,2.7720163456521405,67.4797,-63.7895,2015-04-22,18:16:09,328.81932948852375,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus glacialis,0.1345466479624916,0.065590613691151,121.09198316624249,59.03155232203597,0.2252180808881839,4,117.68882614864388,0.5015901190778951,2015,Calanus glacialis_civstage
20150422 181615  621  000000 0308 0362,female+lateral<Calanus hyperboreus,23349,12.351621,7639,4.041030999999999,5460,2.88834,6.945696152292515,67.4797,-63.7895,2015-04-22,18:16:15,326.5020729619042,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.3533977103207566,0.8514534322860607,1218.057939288681,766.3080890574547,0.2338429911345239,4,1116.8594400043307,0.6861276017459129,2015,Calanus hyperboreus_female
20150422 181619  419  000000 0314 0386,female+lateral<Calanus hyperboreus,28201,14.918329,10765,5.694685,6828,3.612012,7.350913994442042,67.4797,-63.7895,2015-04-22,18:16:19,324.9773494857095,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,2.1727733244140475,1.1592046130537486,1955.4959919726427,1043.2841517483737,0.2421190737917095,4,1345.9118430679198,0.7751504358340991,2015,Calanus hyperboreus_female
20150422 181619  486  000001 0836 0440,female+lateral<Calanus hyperboreus,27390,14.48931,10667,5.642842999999999,7911,4.184919,7.1252604181378265,67.4797,-63.7895,2015-04-22,18:16:19,324.9773494857095,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,2.145524216616862,1.420346692212737,1930.971794955176,1278.3120229914632,0.288828039430449,4,1214.6972311370323,1.0523709038135234,2015,Calanus hyperboreus_female
20150422 181620  852  000000 0374 0416,cvstage+lateral<Calanus glacialis,7928,4.193912,3294,1.742526,3188,1.686452,4.224034635739464,67.4797,-63.7895,2015-04-22,18:16:20,324.60990778450576,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.4239294761359681,0.4052194895405073,381.5365285223713,364.69754058645657,0.4021190716448032,4,661.8432358159386,0.5510331160774763,2015,Calanus glacialis_cvstage
